Area,Type,2013,2014,2015,2016,2017
South-West,Index of Disposable Income per Person (excluding Rent) (State=100),98.6,97.9,96.2,97.2,96.4
Cork,"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution) (Euro Million)",8089,8165,8553,9260,9692
Cork,Income of Self Employed (Euro Million),1170,1325,1222,1426,1504
Cork,Rent of dwellings (including imputed rent of owner-occupied dwellings) (Euro Million),812,868,937,1080,1134
Cork,Net Interest and Dividends (payments by households of interest are deducted from interest received by households) (Euro Million),402,456,422,347,480
Cork,Primary Income (Euro Million),10474,10814,11134,12113,12809
Cork,Social Benefits and Other Current Transfers (Euro Million),2908,2849,2783,2575,2659
Cork,Total Household Income (Euro Million),13382,13663,13916,14688,15468
Cork,Total Income per Person (Euro),25635,26000,26256,27395,28532
Cork,Index of Total Income per Person (State=100),100.9,99.9,97.8,98.7,97.6
Cork,Current Taxes on Income (Euro Million),3900,4125,4121,4302,4507
Cork,Disposable Household Income (Euro Million),9482,9538,9795,10386,10961
Cork,Disposable Income per Person (Euro),18163,18151,18485,19371,20219
Cork,Index of Disposable Income per Person (State=100),100.9,99.9,98,98.5,97.6
Cork,Disposable Income per Person (excluding Rent) (Euro),16424,16218,16607,16830,17909
Cork,Index of Disposable Income per Person (excluding Rent) (State=100),101.1,100,98.1,98.3,97.4
Kerry,"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution) (Euro Million)",1570,1657,1782,1882,1961
Kerry,Income of Self Employed (Euro Million),404,460,440,467,511
Kerry,Rent of dwellings (including imputed rent of owner-occupied dwellings) (Euro Million),189,200,222,218,232
Kerry,Net Interest and Dividends (payments by households of interest are deducted from interest received by households) (Euro Million),86,102,96,76,105
Kerry,Primary Income (Euro Million),2249,2419,2541,2643,2810
Kerry,Social Benefits and Other Current Transfers (Euro Million),865,843,826,932,965
Kerry,Total Household Income (Euro Million),3114,3261,3367,3575,3775
Kerry,Total Income per Person (Euro),21278,22138,22662,23787,24836
Kerry,Index of Total Income per Person (State=100),83.8,85.1,84.4,85.7,84.9
Kerry,Current Taxes on Income (Euro Million),773,863,881,891,927
Kerry,Disposable Household Income (Euro Million),2341,2398,2486,2684,2847
Kerry,Disposable Income per Person (Euro),15995,16279,16736,17857,18733
Kerry,Index of Disposable Income per Person (State=100),88.9,89.6,88.8,90.8,90.4
Kerry,Disposable Income per Person (excluding Rent) (Euro),14567,14697,15151,15994,17032
Kerry,Index of Disposable Income per Person (excluding Rent) (State=100),89.7,90.6,89.5,93.4,92.7
Eastern and Midland,"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution) (Euro Million)",39375,40935,43880,46672,50524
Eastern and Midland,Income of Self Employed (Euro Million),3798,4102,4337,4472,4552
Eastern and Midland,Rent of dwellings (including imputed rent of owner-occupied dwellings) (Euro Million),4013,4276,4667,5617,5962
Eastern and Midland,Net Interest and Dividends (payments by households of interest are deducted from interest received by households) (Euro Million),1885,2172,2082,1674,2374
Eastern and Midland,Primary Income (Euro Million),49072,51484,54965,58436,63412
Eastern and Midland,Social Benefits and Other Current Transfers (Euro Million),12513,12241,12005,12019,12344
Eastern and Midland,Total Household Income (Euro Million),61585,63725,66970,70455,75756
Eastern and Midland,Total Income per Person (Euro),27713,28487,29680,30870,32826
Eastern and Midland,Index of Total Income per Person (State=100),109.1,109.5,110.5,111.2,112.3
Eastern and Midland,Current Taxes on Income (Euro Million),19485,20635,21426,22015,23823
Eastern and Midland,Disposable Household Income (Euro Million),42100,43091,45544,48440,51933
Eastern and Midland,Disposable Income per Person (Euro),18945,19263,20189,21224,22503
Eastern and Midland,Index of Disposable Income per Person (State=100),105.2,106,107.1,108,108.6
Eastern and Midland,Disposable Income per Person (excluding Rent) (Euro),16938,17039,17993,18170,19667
Eastern and Midland,Index of Disposable Income per Person (excluding Rent) (State=100),104.2,105,106.3,106.1,107
Dublin,"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution) (Euro Million)",25783,26890,28701,30418,31651
Dublin,Income of Self Employed (Euro Million),2143,2324,2448,2468,2428
Dublin,Rent of dwellings (including imputed rent of owner-occupied dwellings) (Euro Million),2680,2855,3114,3897,4129
Dublin,Net Interest and Dividends (payments by households of interest are deducted from interest received by households) (Euro Million),1222,1412,1349,1085,1486
Dublin,Primary Income (Euro Million),31828,33482,35612,37868,39694
Dublin,Social Benefits and Other Current Transfers (Euro Million),7259,7082,6968,6975,7109
Dublin,Total Household Income (Euro Million),39087,40564,42580,44843,46802
Dublin,Total Income per Person (Euro),30527,31471,32750,34099,35197
Dublin,Index of Total Income per Person (State=100),120.2,121,121.9,122.9,120.4
Dublin,Current Taxes on Income (Euro Million),13037,13725,14201,14590,15069
Dublin,Disposable Household Income (Euro Million),26050,26839,28379,30253,31733
Dublin,Disposable Income per Person (Euro),20345,20823,21832,23005,23864
Dublin,Index of Disposable Income per Person (State=100),113,114.6,115.8,117,115.2
Dublin,Disposable Income per Person (excluding Rent) (Euro),18027,18256,19294,19380,20487
Dublin,Index of Disposable Income per Person (excluding Rent) (State=100),110.9,112.5,113.9,113.2,111.5
Mid-East,"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution) (Euro Million)",10033,10456,11400,12307,13811
Mid-East,Income of Self Employed (Euro Million),1262,1343,1424,1511,1501
Mid-East,Rent of dwellings (including imputed rent of owner-occupied dwellings) (Euro Million),1000,1066,1159,1320,1406
Mid-East,Net Interest and Dividends (payments by households of interest are deducted from interest received by households) (Euro Million),491,567,550,446,650
Mid-East,Primary Income (Euro Million),12787,13431,14532,15584,17369
Mid-East,Social Benefits and Other Current Transfers (Euro Million),3515,3447,3371,3394,3515
Mid-East,Total Household Income (Euro Million),16302,16878,17903,18978,20884
Mid-East,Total Income per Person (Euro),24784,25491,26807,28093,30573
Mid-East,Index of Total Income per Person (State=100),97.6,98,99.8,101.2,104.6
Mid-East,Current Taxes on Income (Euro Million),4872,5232,5509,5700,6297
Mid-East,Disposable Household Income (Euro Million),11429,11647,12394,13278,14587
Mid-East,Disposable Income per Person (Euro),17376,17590,18562,19655,21354
Mid-East,Index of Disposable Income per Person (State=100),96.5,96.8,98.5,100,103.1
Mid-East,Disposable Income per Person (excluding Rent) (Euro),15679,15704,16713,17161,19057
Mid-East,Index of Disposable Income per Person (excluding Rent) (State=100),96.5,96.8,98.7,100.2,103.7
Kildare,"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution) (Euro Million)",3524,3679,4031,4421,5066
Kildare,Income of Self Employed (Euro Million),374,398,431,457,419
Kildare,Rent of dwellings (including imputed rent of owner-occupied dwellings) (Euro Million),340,364,387,459,483
Kildare,Net Interest and Dividends (payments by households of interest are deducted from interest received by households) (Euro Million),169,196,191,157,232
Kildare,Primary Income (Euro Million),4408,4636,5039,5495,6200
Kildare,Social Benefits and Other Current Transfers (Euro Million),1081,1058,1033,1044,1062
Kildare,Total Household Income (Euro Million),5488,5693,6072,6539,7262
Kildare,Total Income per Person (Euro),25947,26738,28270,30099,33059
Kildare,Index of Total Income per Person (State=100),102.2,102.8,105.3,108.5,113.1
Kildare,Current Taxes on Income (Euro Million),1709,1825,1936,2031,2292
Kildare,Disposable Household Income (Euro Million),3780,3868,4136,4508,4970
Kildare,Disposable Income per Person (Euro),17868,18167,19261,20750,22626
Kildare,Index of Disposable Income per Person (State=100),99.3,100,102.2,105.5,109.2
Kildare,Disposable Income per Person (excluding Rent) (Euro),16072,16161,17336,18042,20162
Kildare,Index of Disposable Income per Person (excluding Rent) (State=100),98.9,99.6,102.4,105.4,109.7
Louth,"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution) (Euro Million)",1603,1641,1769,1903,2078
Louth,Income of Self Employed (Euro Million),143,156,163,173,178
Louth,Rent of dwellings (including imputed rent of owner-occupied dwellings) (Euro Million),167,177,197,212,226
Louth,Net Interest and Dividends (payments by households of interest are deducted from interest received by households) (Euro Million),76,87,84,67,97
Louth,Primary Income (Euro Million),1989,2061,2213,2356,2580
Louth,Social Benefits and Other Current Transfers (Euro Million),823,797,777,773,798
Louth,Total Household Income (Euro Million),2812,2859,2990,3129,3378
Louth,Total Income per Person (Euro),22752,22974,23828,24646,26312
Louth,Index of Total Income per Person (State=100),89.6,88.3,88.7,88.8,90
Louth,Current Taxes on Income (Euro Million),718,767,800,824,885
Louth,Disposable Household Income (Euro Million),2094,2092,2190,2305,2492
Louth,Disposable Income per Person (Euro),16945,16810,17455,18159,19416
Louth,Index of Disposable Income per Person (State=100),94.1,92.5,92.6,92.4,93.7
Louth,Disposable Income per Person (excluding Rent) (Euro),15452,15162,15794,16057,17465
Louth,Index of Disposable Income per Person (excluding Rent) (State=100),95.1,93.4,93.3,93.8,95
Meath,"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution) (Euro Million)",2865,3009,3269,3482,3908
Meath,Income of Self Employed (Euro Million),438,460,491,521,518
Meath,Rent of dwellings (including imputed rent of owner-occupied dwellings) (Euro Million),263,279,303,353,381
Meath,Net Interest and Dividends (payments by households of interest are deducted from interest received by households) (Euro Million),142,165,160,128,187
Meath,Primary Income (Euro Million),3708,3913,4223,4484,4994
Meath,Social Benefits and Other Current Transfers (Euro Million),843,835,814,827,882
Meath,Total Household Income (Euro Million),4551,4748,5037,5310,5876
Meath,Total Income per Person (Euro),24572,25468,26785,27918,30551
Meath,Index of Total Income per Person (State=100),96.7,97.9,99.7,100.6,104.5
Meath,Current Taxes on Income (Euro Million),1402,1527,1599,1627,1803
Meath,Disposable Household Income (Euro Million),3148,3221,3438,3683,4073
Meath,Disposable Income per Person (Euro),17000,17279,18285,19364,21178
Meath,Index of Disposable Income per Person (State=100),94.4,95.1,97,98.5,102.2
Meath,Disposable Income per Person (excluding Rent) (Euro),15397,15492,16555,16953,18953
Meath,Index of Disposable Income per Person (excluding Rent) (State=100),94.8,95.5,97.8,99,103.1
Wicklow,"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution) (Euro Million)",2041,2127,2330,2501,2758
Wicklow,Income of Self Employed (Euro Million),308,330,339,360,387
Wicklow,Rent of dwellings (including imputed rent of owner-occupied dwellings) (Euro Million),231,245,272,296,316
Wicklow,Net Interest and Dividends (payments by households of interest are deducted from interest received by households) (Euro Million),103,119,116,93,135
Wicklow,Primary Income (Euro Million),2682,2821,3058,3249,3595
Wicklow,Social Benefits and Other Current Transfers (Euro Million),768,758,747,751,773
Wicklow,Total Household Income (Euro Million),3450,3578,3804,4000,4368
Wicklow,Total Income per Person (Euro),25107,25866,27265,28339,30607
Wicklow,Index of Total Income per Person (State=100),98.9,99.4,101.5,102.1,104.7
Wicklow,Current Taxes on Income (Euro Million),1043,1113,1174,1218,1318
Wicklow,Disposable Household Income (Euro Million),2407,2465,2631,2782,3051
Wicklow,Disposable Income per Person (Euro),17514,17821,18856,19709,21375
Wicklow,Index of Disposable Income per Person (State=100),97.3,98.1,100,100.3,103.2
Wicklow,Disposable Income per Person (excluding Rent) (Euro),15659,15775,16790,17079,18927
Wicklow,Index of Disposable Income per Person (excluding Rent) (State=100),96.4,97.2,99.2,99.7,103
Midland,"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution) (Euro Million)",3559,3589,3779,3947,5063
Midland,Income of Self Employed (Euro Million),393,434,465,493,623
Midland,Rent of dwellings (including imputed rent of owner-occupied dwellings) (Euro Million),334,355,394,401,427
Midland,Net Interest and Dividends (payments by households of interest are deducted from interest received by households) (Euro Million),171,193,183,143,238
Midland,Primary Income (Euro Million),4457,4571,4820,4983,6350
Midland,Social Benefits and Other Current Transfers (Euro Million),1739,1712,1666,1651,1719
Midland,Total Household Income (Euro Million),6196,6283,6486,6634,8070
Midland,Total Income per Person (Euro),21814,21972,22495,22742,27356
Midland,Index of Total Income per Person (State=100),85.9,84.5,83.8,81.9,93.6
Midland,Current Taxes on Income (Euro Million),1575,1678,1716,1725,2456
Midland,Disposable Household Income (Euro Million),4621,4605,4771,4909,5613
Midland,Disposable Income per Person (Euro),16269,16104,16550,16828,19030
Midland,Index of Disposable Income per Person (State=100),90.4,88.6,87.8,85.6,91.9
Midland,Disposable Income per Person (excluding Rent) (Euro),14949,14644,15096,15052,17379
Midland,Index of Disposable Income per Person (excluding Rent) (State=100),92,90.3,89.1,87.9,94.5
Laois,"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution) (Euro Million)",1150,1154,1184,1247,1622
Laois,Income of Self Employed (Euro Million),100,102,105,111,151
Laois,Rent of dwellings (including imputed rent of owner-occupied dwellings) (Euro Million),94,100,111,116,124
Laois,Net Interest and Dividends (payments by households of interest are deducted from interest received by households) (Euro Million),54,60,55,43,74
Laois,Primary Income (Euro Million),1397,1416,1455,1518,1971
Laois,Social Benefits and Other Current Transfers (Euro Million),445,440,429,425,444
Laois,Total Household Income (Euro Million),1842,1856,1884,1943,2415
Laois,Total Income per Person (Euro),22737,22758,22904,23347,28698
Laois,Index of Total Income per Person (State=100),89.5,87.5,85.3,84.1,98.2
Laois,Current Taxes on Income (Euro Million),496,525,523,533,778
Laois,Disposable Household Income (Euro Million),1347,1331,1361,1410,1637
Laois,Disposable Income per Person (Euro),16619,16318,16555,16946,19456
Laois,Index of Disposable Income per Person (State=100),92.3,89.8,87.8,86.2,93.9
Laois,Disposable Income per Person (excluding Rent) (Euro),15301,14854,15116,15117,17761
Laois,Index of Disposable Income per Person (excluding Rent) (State=100),94.2,91.5,89.3,88.3,96.6
Longford,"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution) (Euro Million)",440,431,470,480,588
Longford,Income of Self Employed (Euro Million),58,65,72,76,101
Longford,Rent of dwellings (including imputed rent of owner-occupied dwellings) (Euro Million),42,44,49,47,50
Longford,Net Interest and Dividends (payments by households of interest are deducted from interest received by households) (Euro Million),22,24,23,18,29
Longford,Primary Income (Euro Million),561,565,614,621,768
Longford,Social Benefits and Other Current Transfers (Euro Million),276,270,261,259,277
Longford,Total Household Income (Euro Million),838,835,875,880,1046
Longford,Total Income per Person (Euro),21358,21146,21976,21841,25670
Longford,Index of Total Income per Person (State=100),84.1,81.3,81.8,78.7,87.8
Longford,Current Taxes on Income (Euro Million),192,203,213,211,283
Longford,Disposable Household Income (Euro Million),645,632,662,669,763
Longford,Disposable Income per Person (Euro),16456,16013,16636,16610,18721
Longford,Index of Disposable Income per Person (State=100),91.4,88.1,88.2,84.5,90.4
Longford,Disposable Income per Person (excluding Rent) (Euro),15260,14694,15313,15072,17302
Longford,Index of Disposable Income per Person (excluding Rent) (State=100),93.9,90.6,90.4,88,94.1
Offaly,"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution) (Euro Million)",885,899,946,990,1251
Offaly,Income of Self Employed (Euro Million),106,119,128,135,175
Offaly,Rent of dwellings (including imputed rent of owner-occupied dwellings) (Euro Million),90,95,106,106,113
Offaly,Net Interest and Dividends (payments by households of interest are deducted from interest received by households) (Euro Million),43,49,46,36,60
Offaly,Primary Income (Euro Million),1124,1163,1225,1268,1599
Offaly,Social Benefits and Other Current Transfers (Euro Million),472,465,453,447,458
Offaly,Total Household Income (Euro Million),1596,1628,1678,1715,2058
Offaly,Total Income per Person (Euro),20697,20966,21429,21648,25688
Offaly,Index of Total Income per Person (State=100),81.5,80.6,79.8,78,87.9
Offaly,Current Taxes on Income (Euro Million),391,422,432,434,612
Offaly,Disposable Household Income (Euro Million),1205,1206,1246,1281,1446
Offaly,Disposable Income per Person (Euro),15623,15529,15912,16175,18053
Offaly,Index of Disposable Income per Person (State=100),86.8,85.5,84.4,82.3,87.2
Offaly,Disposable Income per Person (excluding Rent) (Euro),14328,14101,14482,14458,16451
Offaly,Index of Disposable Income per Person (excluding Rent) (State=100),88.2,86.9,85.5,84.4,89.5
Westmeath,"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution) (Euro Million)",1084,1104,1179,1230,1601
Westmeath,Income of Self Employed (Euro Million),129,148,161,170,196
Westmeath,Rent of dwellings (including imputed rent of owner-occupied dwellings) (Euro Million),109,116,128,131,139
Westmeath,Net Interest and Dividends (payments by households of interest are deducted from interest received by households) (Euro Million),53,60,58,45,75
Westmeath,Primary Income (Euro Million),1375,1427,1525,1577,2011
Westmeath,Social Benefits and Other Current Transfers (Euro Million),545,536,524,520,540
Westmeath,Total Household Income (Euro Million),1920,1964,2050,2097,2551
Westmeath,Total Income per Person (Euro),22153,22508,23297,23558,28349
Westmeath,Index of Total Income per Person (State=100),87.2,86.5,86.7,84.9,97
Westmeath,Current Taxes on Income (Euro Million),496,528,548,548,784
Westmeath,Disposable Household Income (Euro Million),1424,1436,1502,1548,1768
Westmeath,Disposable Income per Person (Euro),16431,16457,17073,17396,19641
Westmeath,Index of Disposable Income per Person (State=100),91.3,90.6,90.6,88.5,94.8
Westmeath,Disposable Income per Person (excluding Rent) (Euro),15032,14909,15525,15511,17881
Westmeath,Index of Disposable Income per Person (excluding Rent) (State=100),92.5,91.9,91.7,90.6,97.3
